portal,title,tender_url,ai_score,matched_keywords,hash,closing_date,bid_opening_date,description,source_page,scraped_at
Assam Police,10. Construction of Indoor Stadium along with Wall Gate etc at Chatia under Naduar LAC Sonitpur Assam T/TB-I(B)/14/2025/41 22-Jun-2026 02:00 PM 22-Jun-2026 02:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SS2roD6HzyJ1uDOBwjBdhqA%3D%3D,0,,adab81112582fc5c62c478995f61c2d4,22-Jun-2026 02:00 PM,22-Jun-2026 02:30 PM,10. Construction of Indoor Stadium along with Wall Gate etc at Chatia under Naduar LAC Sonitpur Assam T/TB-I(B)/14/2025/41 22-Jun-2026 02:00 PM 22-Jun-2026 02:30 PM,https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,10. DATE CORRIGENDUM - 03 JJMA_70_ME_2024_T_17476_80 16-Jun-2026 04:00 PM 17-Jun-2026 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SssassXIVn3ajCgd8ecJwXQ%3D%3D,0,,fd7ee858adfc5466cd0e4ea039eddee2,16-Jun-2026 04:00 PM,17-Jun-2026 03:00 PM,10. DATE CORRIGENDUM - 03 JJMA_70_ME_2024_T_17476_80 16-Jun-2026 04:00 PM 17-Jun-2026 03:00 PM,https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,2. Corrigendum Notice No. 1 CGM/APDCL/UAR/T 227/Supply Installation/VCB Panel/2025 26/70 05-Jun-2026 04:00 PM 06-Jun-2026 04:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SxqQx62Znxs%2BiEczBmZLxHw%3D%3D,0,,af8055275fa0f6f3b1d035875fb21f24,05-Jun-2026 04:00 PM,06-Jun-2026 04:00 PM,2. Corrigendum Notice No. 1 CGM/APDCL/UAR/T 227/Supply Installation/VCB Panel/2025 26/70 05-Jun-2026 04:00 PM 06-Jun-2026 04:00 PM,https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,"2. Supply of one no. of 200MVA, 220/132 kV Three Phase Auto Transformer and Related Services at 220/132 KV Rangia GSS, AEGCL (Phase-II) TECH-1218/BID(R-PART-1) 18-Jun-2026 02:00 PM 20-Jun-2026 02:00 PM",https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SNm1TgP9dLK9uMMJno64hhg%3D%3D,0,,c136eed38c78fa513ef03532f5cb87cc,18-Jun-2026 02:00 PM,20-Jun-2026 02:00 PM,"2. Supply of one no. of 200MVA, 220/132 kV Three Phase Auto Transformer and Related Services at 220/132 KV Rangia GSS, AEGCL (Phase-II) TECH-1218/BID(R-PART-1) 18-Jun-2026 02:00 PM 20-Jun-2026 02:00 PM",https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,3. CORRIGENDUM FOR A TYPING ERROR A WORD ONLY SE/CC/E-TENDER/SOPD-G/2026-27/ 190(T) 03-Jun-2026 02:00 PM 03-Jun-2026 02:05 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=S25LEb6i8rmmiQqwbH0wd3Q%3D%3D,0,,f5576f1299e5f30d43f10bed95a75f28,03-Jun-2026 02:00 PM,03-Jun-2026 02:05 PM,3. CORRIGENDUM FOR A TYPING ERROR A WORD ONLY SE/CC/E-TENDER/SOPD-G/2026-27/ 190(T) 03-Jun-2026 02:00 PM 03-Jun-2026 02:05 PM,https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,"3. Renovation and Repairing work at Chief Secretary residence bunglow at Senior Officers Colony, Khanapara, Guwahati-22 (Civil, Sanitary and Electrical works ) (Phase-I) CS/15/2026-27/2657 19-Jun-2026 02:00 PM 20-Jun-2026 02:00 PM",https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SGpCAYfatj%2B4DseZpsZ7g5g%3D%3D,0,,bbf5e86ad1d45c45c1d19eaef61a034e,19-Jun-2026 02:00 PM,20-Jun-2026 02:00 PM,"3. Renovation and Repairing work at Chief Secretary residence bunglow at Senior Officers Colony, Khanapara, Guwahati-22 (Civil, Sanitary and Electrical works ) (Phase-I) CS/15/2026-27/2657 19-Jun-2026 02:00 PM 20-Jun-2026 02:00 PM",https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,4. CORRIGENDUM-II AEGCL/MD/Tech-6/BD/Port. Audit/2026/BID 08-Jun-2026 12:00 PM 09-Jun-2026 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=Sbta0JfX%2BJWAoDWPmglF7xg%3D%3D,0,,17ff39a3fa4d76f9bc9a8c2531a83a48,08-Jun-2026 12:00 PM,09-Jun-2026 02:00 PM,4. CORRIGENDUM-II AEGCL/MD/Tech-6/BD/Port. Audit/2026/BID 08-Jun-2026 12:00 PM 09-Jun-2026 02:00 PM,https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,"4. Construction of Community Hall (Ground floor) at Revenue Village No. 1 Sapkhaiti under Ambagaon Mauza, Udalguri Circle office, Udalguri, BTR, Assam. (TN_30_1_R) ACE-25/PWD/IFB/BTC/2025-26/77 17-Jun-2026 02:00 PM 17-Jun-2026 03:00 PM",https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S6nJj2bpPp5b%2FnJYYDhnUlA%3D%3D,0,,915002dbe23ba284f50f42de76e8f891,17-Jun-2026 02:00 PM,17-Jun-2026 03:00 PM,"4. Construction of Community Hall (Ground floor) at Revenue Village No. 1 Sapkhaiti under Ambagaon Mauza, Udalguri Circle office, Udalguri, BTR, Assam. (TN_30_1_R) ACE-25/PWD/IFB/BTC/2025-26/77 17-Jun-2026 02:00 PM 17-Jun-2026 03:00 PM",https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,"5. Construction of Vertical Extension of the office of Boro Baptist Convention, Harisinga, Udalguri. (TN_53_1_R) ACE-25/PWD/IFB/BTC/2025-26/77 17-Jun-2026 02:00 PM 17-Jun-2026 03:00 PM",https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SfyvcVaHaDvl7j3Wx6LWnuA%3D%3D,0,,9d2562d52b6813602787d5ca4aaef26e,17-Jun-2026 02:00 PM,17-Jun-2026 03:00 PM,"5. Construction of Vertical Extension of the office of Boro Baptist Convention, Harisinga, Udalguri. (TN_53_1_R) ACE-25/PWD/IFB/BTC/2025-26/77 17-Jun-2026 02:00 PM 17-Jun-2026 03:00 PM",https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
Assam Police,5. MOM AEGCL/MD/Tech-6/BD/Port. Audit/2026/BID 08-Jun-2026 12:00 PM 09-Jun-2026 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SDJx5j3hdtqiV2G4FkUdH4w%3D%3D,0,,1624f43c44ee1a4c8cc761cc8a4a7938,08-Jun-2026 12:00 PM,09-Jun-2026 02:00 PM,5. MOM AEGCL/MD/Tech-6/BD/Port. Audit/2026/BID 08-Jun-2026 12:00 PM 09-Jun-2026 02:00 PM,https://assamtenders.gov.in/nicgep/app,2026-05-29T12:07:59
